"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"中古マンション等","","13105","東京都","文京区","大塚","護国寺","3",17000000,"","１Ｋ","15",,"","","","平成13年","ＲＣ","住宅","住宅","","",,"準工業地域",60,300,"2021年第２四半期","未改装",""
2,"中古マンション等","","13105","東京都","文京区","大塚","新大塚","8",14000000,"","１Ｋ","15",,"","","","平成8年","ＲＣ","住宅","住宅","","",,"商業地域",80,400,"2021年第２四半期","未改装",""
3,"中古マンション等","","13105","東京都","文京区","音羽","江戸川橋","3",23000000,"","１Ｋ","15",,"","","","平成14年","ＲＣ","住宅","住宅","","",,"近隣商業地域",80,300,"2021年第２四半期","改装済",""
4,"中古マンション等","","13105","東京都","文京区","音羽","江戸川橋","4",16000000,"","１Ｋ","20",,"","","","平成10年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,600,"2021年第２四半期","未改装",""
5,"中古マンション等","","13105","東京都","文京区","音羽","護国寺","2",29000000,"","１ＤＫ","35",,"","","","平成13年","ＲＣ","住宅","住宅","","",,"商業地域",80,600,"2021年第２四半期","改装済",""
6,"中古マンション等","","13105","東京都","文京区","音羽","護国寺","2",21000000,"","１Ｋ","20",,"","","","平成13年","ＲＣ","住宅","その他","","",,"商業地域",80,600,"2021年第２四半期","改装済",""
7,"中古マンション等","","13105","東京都","文京区","音羽","護国寺","0",34000000,"","２ＬＤＫ","50",,"","","","昭和53年","ＳＲＣ","","事務所","","",,"商業地域",80,600,"2021年第２四半期","未改装",""
8,"中古マンション等","","13105","東京都","文京区","春日","飯田橋","9",90000000,"","２ＬＤＫ","75",,"","","","平成16年","ＳＲＣ","住宅","住宅","","",,"第１種住居地域",60,300,"2021年第２四半期","未改装",""
9,"中古マンション等","","13105","東京都","文京区","春日","後楽園","9",58000000,"","２ＬＤＫ","60",,"","","","昭和52年","ＲＣ","住宅","住宅","","",,"第１種住居地域",60,300,"2021年第２四半期","改装済",""
10,"中古マンション等","","13105","東京都","文京区","春日","後楽園","6",9000000,"","１Ｋ","15",,"","","","昭和60年","ＲＣ","住宅","住宅","","",,"商業地域",80,600,"2021年第２四半期","改装済",""
11,"中古マンション等","","13105","東京都","文京区","春日","茗荷谷","9",25000000,"","１Ｋ","25",,"","","","平成25年","ＲＣ","住宅","住宅","","",,"商業地域",80,600,"2021年第２四半期","未改装",""
12,"中古マンション等","","13105","東京都","文京区","小石川","春日(東京)","4",44000000,"","","30",,"","","","平成24年","ＳＲＣ","","住宅","","",,"商業地域",80,600,"2021年第２四半期","",""
13,"中古マンション等","","13105","東京都","文京区","小石川","春日(東京)","11",70000000,"","２ＬＤＫ","55",,"","","","平成29年","ＲＣ","住宅","住宅","","",,"準工業地域",60,300,"2021年第２四半期","未改装",""
